Name,Easting,Northing,Elevation,Description
TP1,267066.693,312492.545,154.659,Pluto - center of medallion
TP2,267106.634,312533.87,153.348,Benckmark at Hoyt & FPPkwy
TP3,267062.246,312435.617,155.155,Schnucks Pav - NW corner
TP4,267060.756,312390.822,155.327,site lighting panel - center
TP5,267084.563,312386.075,155.055,sidewalk corner - SE corner of Schnucks pav.
TP6,267069.774,312375.719,155.242,N fountain - SW corner
TP7,267067.138,312353.977,155.253,S fountain - NW corner
TP8,267058.069,312359.639,155.198,Brookings stairs - SE corner
TP9,267083.414,312362.989,154.9,top of the key
TP10,267083.947,312381.192,154.974,sidewalk corner NW corner of Tisch grassy area
TP11,267079.561,312345.251,154.957,TP N sidewalk corner NE of Summers
TP12,267078.958,312340.341,154.961,TP S sidewalk corner NE of Summers
TP13,267081.857,312313.231,155.035,Sidwewalk corner E of Summers
TP14,267118.721,312315.089,154.511,Sidewalk corner N of Weil
TP15,267116.503,312335.725,154.394,TP Sidewalk corner N of Weil
TP16,267151.365,312331.395,154.031,TP Sidewalk corner between Weil and Kemper
TP17,267192.974,312335.975,153.337,bench near drop off circle - SE corner
TP18,267217.368,312283.76,151.581,sidewalk corner S of Kemper
TP19,267223.447,312337.304,152.58,S manhole cover - grassy area 
TP20,267225.599,312353.684,152.592,N manhole cover - grassy area 
TP21,267251.127,312414.795,154.221,sidwalk corner NE of McKelvey 
TP22,267196.259,312362.61,153.31,bench near drop off circle - NE corner
TP23,267169.465,312363.137,153.821,N manhole cover in grassy area
TP24,267168.086,312374.812,153.837,manhole cover on N sidewalk
TP25,267157.045,312377.075,153.995,Sidewalk corner near large air vent
TP26,267118.544,312381.857,154.561,Sidewalk corner
TP27,267156.215,312400.615,154.583,Sidewalk corner SE of Jubel
TP28,267151.505,312408.42,154.713,manhole cvoer S of Jubel Hall
TP29,267310.772,312508.327,152.94,benchmark at skinker and FP Pkwy
TP30,267106.635,312533.882,153.407,benckmark at Hoyt & FPPkwy
TP31,267066.674,312492.58,154.675,Pluto - center of medallion
